index,axis-0,axis-1
125.0,942.9335422555682,441.2024942501747
126.0,887.798263410604,405.364563000948
127.0,816.1224009121506,412.2564728565685
128.0,737.5546285580767,388.8239793474587
129.0,697.5815513954777,443.9592581924229
130.0,643.8246545216377,446.716022134671
131.0,652.0949463483823,343.3373743003632
132.0,590.0677576477977,352.9860480982319
133.0,705.8518432222224,304.7426791088883
134.0,681.0409677419885,208.25594113020122
135.0,672.7706759152439,60.76907021992213
136.0,726.5275727890839,81.44479978678368
137.0,725.1491908179598,9.768937288330278
138.0,660.3652381751269,4.25540940383388
139.0,798.3714399544109,31.48703949256884
140.0,847.825186248005,103.49891132476932
141.0,887.798263410604,113.14758512263796
142.0,953.960598024561,70.41774401779082
143.0,892.2025886423546,26.444110601008617
144.0,995.3120571582842,9.768937288330278
145.0,985.6633833604153,148.98551637186466
146.0,927.771340573203,184.82344762109142
147.0,900.203701150721,230.31005266818676
148.0,962.2308898513056,252.36416420617252
149.0,999.4472030716565,297.8507692532679
150.0,1010.4742588406493,226.17490675481451
151.0,942.9335422555682,307.4994430511366
152.0,853.3387141325014,335.0670824736187
153.0,796.8250533164132,317.1481168490054
154.0,774.7709417784275,239.95872646605562
155.0,829.9062206233917,260.63445603291706
156.0,770.6357958650552,150.36389834298876
157.0,956.7173619668092,376.41854160734175
158.0,1014.1666932239559,415.5992392254345
159.0,152.72882885810807,1023.419363022098
160.0,697.0997083474673,136.91621331385815
161.0,11.279874187623113,693.1483187932561
